会社名,フリガナ,法人番号,許可番号,大臣知事区分,法人個人,郵便番号,所在地,代表者名,代表者フリガナ,資本金千円,Web,Instagram,経審ステータス,文化財入札,自社,比較対象外
足立電気工業株式会社,アダチデンキコウギョウ,4130001009916,26-015487,京都府知事,法人,,京都市南区東九条西明田町34-21,徳丸正憲,トクマルマサノリ,10000,,,有,,,
有限会社宮川屋根工業,ミヤガワヤネコウギョウ,7130002017519,26-019518,京都府知事,法人,604-0985,京都府京都市中京区麩屋町竹屋町上ル舟屋町415,宮川義史,ミヤガワヨシフミ,20000,,,有,有,,
株式会社芳村石材店,ヨシムラセキザイテン,4130001004090,26-019549,京都府知事,法人,602-8043,京都市上京区東堀川通椹木町通上ル五丁目208番地,山田俊行,ヤマダトシユキ,10000,,,有,,,
株式会社材源,,6130001002992,26-022071,京都府知事,法人,602-8392,京都府京都市上京区御前通今出川上ル二丁目北町６４８－２,清水忠行,,,,,有,有,,
伸和建設株式会社,,8130001001035,26-024846,京都府知事,法人,,京都府京都市右京区西院上花田町２１,北尾行弘,,,http://www.sinwakensetu.co.jp,,有,有,,
田中瓦店,,,26-025240,京都府知事,個人,,京都府京都市東山区新門前通大和大路東入ル西之町233,田中巌,,,,,有,,,
丸岡組,,,26-025616,京都府知事,個人,,京都府八幡市八幡三反長３８－１,丸岡光弘,,,,,有,有,,
株式会社しっくい浅原,,1130001049155,26-026672,京都府知事,法人,,京都府京都市山科区大宅沢町１８５,浅原一郎,,,,,有,有,,
有限会社田代千治店,,1130002007426,26-028951,京都府知事,法人,,京都府京都市下京区猪熊通塩小路下る上夷町１６５,田代剛一,,,,,有,有,,
株式会社石寅,,4130001000180,26-029400,京都府知事,法人,,京都府京都市右京区嵯峨天竜寺瀬戸川町１－１０,佐藤嘉則,,,,,有,有,,
有限会社川面美術研究所,,6130002000450,26-029415,京都府知事,法人,,京都府京都市右京区鳴滝本町６９－２,荒木かおり,,,,,有,有,,
光本瓦店有限会社,,4130002018511,26-031652,京都府知事,法人,,京都府京都市北区大北山原谷乾町117-8,光本大助,,,,,有,,,
有限会社匠平安瓦,,4130002018759,26-033871,京都府知事,法人,,京都府京都市山科区東野舞台町95-11,東村俊之,,,,,有,,,
